Features,Class
"[-351.6251220703125, 86.87262725830078, -14.980208396911621, 21.255037307739258, -7.73253870010376, 14.597578048706055, -4.065438270568848, 14.520508766174316, -7.565308570861816, 7.251713752746582, -12.63511848449707, 11.389244079589844, -7.161518096923828, 8.563867568969727, -7.485435485839844, 7.836484432220459, -8.054036140441895, 7.75935173034668, -2.1260573863983154, 9.105515480041504, -5.119012355804443, 9.686153411865234, -0.6119974851608276, 8.580057144165039, -0.3746771812438965, 6.184450626373291, -1.5594793558120728, 4.869048118591309, -0.8257060050964355, 3.443204879760742, -2.2900235652923584, 3.8444955348968506, 0.8544185757637024, 3.3699796199798584, -0.6715084314346313, 2.617696762084961, 0.010052064433693886, 2.966982126235962, 2.9261598587036133, 7.463899612426758]",Cargo
"[-433.6374816894531, 102.78813934326172, 4.263644218444824, 31.529788970947266, -0.8799269199371338, 16.512603759765625, 2.8421413898468018, 19.52846908569336, -4.47904109954834, 10.194254875183105, -3.970040798187256, 11.597896575927734, -0.745587170124054, 9.256598472595215, -3.523261070251465, 10.362035751342773, -0.3539668619632721, 12.17675495147705, 0.04274467006325722, 7.771353721618652, -1.0731215476989746, 9.303919792175293, 1.215575098991394, 8.214957237243652, 1.3028298616409302, 5.1597723960876465, 2.91379451751709, 5.345070838928223, 3.463287830352783, 4.596309185028076, 2.4204440116882324, 4.494567394256592, 3.2830259799957275, 3.8531951904296875, 4.0091872215271, 3.661435604095459, 3.2900688648223877, 2.5009922981262207, 3.5029332637786865, 2.8230502605438232]",Cargo
"[-459.4378967285156, 118.9866714477539, 14.566435813903809, 32.14723205566406, 11.514914512634277, 18.497283935546875, 12.052884101867676, 16.585941314697266, 7.064613342285156, 10.804281234741211, 5.9506659507751465, 14.10560417175293, 9.601507186889648, 11.310535430908203, 6.2626519203186035, 10.684500694274902, 5.985662460327148, 8.802894592285156, 4.546282768249512, 4.184688091278076, -0.3283095955848694, 1.8909227848052979, 1.427930474281311, 2.923218011856079, 1.9782159328460693, 1.137620449066162, 1.8178690671920776, 1.503986120223999, 2.9623782634735107, 1.9126867055892944, 1.298538327217102, 1.7870090007781982, 0.8707395195960999, 0.6541101336479187, 1.5549553632736206, 0.7425398230552673, 0.027250148355960846, -0.24880987405776978, 1.4430599212646484, 0.45664969086647034]",Cargo
"[-503.5106201171875, 129.89466857910156, 12.606634140014648, 29.421463012695312, 4.094382286071777, 15.230293273925781, 8.052295684814453, 14.53010082244873, 0.09210769087076187, 5.229962348937988, -0.17578525841236115, 9.346442222595215, 0.5435998439788818, 7.743161201477051, 2.7194628715515137, 9.46573257446289, 6.284348011016846, 8.019454956054688, 4.942012786865234, 3.502650737762451, 4.3414082527160645, 5.680840015411377, 4.495980739593506, 5.365644454956055, 4.40797758102417, 2.829221248626709, 2.622140884399414, 2.1768712997436523, 3.171321392059326, 1.624976396560669, 1.4242881536483765, 1.5201222896575928, 0.6932504177093506, 1.5375250577926636, 2.8804266452789307, 3.3040952682495117, 3.3590476512908936, 3.483962059020996, 4.851428031921387, 2.6995606422424316]",Cargo
"[-290.6701965332031, 115.29109191894531, -9.09959602355957, 26.16802215576172, -1.8807083368301392, 15.235723495483398, -1.9970048666000366, 21.375404357910156, -4.278194904327393, 6.026253700256348, -11.581477165222168, 8.038997650146484, -10.567909240722656, 4.485919952392578, -10.72400188446045, 3.5233683586120605, -9.034122467041016, 4.747021675109863, -5.941267013549805, 2.8334407806396484, -5.724508285522461, 3.773019790649414, -5.188851356506348, 2.627793073654175, -1.0736218690872192, 4.6195597648620605, -1.893699049949646, 3.997771739959717, -0.09662362933158875, 2.7439332008361816, -2.208641767501831, 1.1108289957046509, -2.124279260635376, 1.4421024322509766, 1.6230039596557617, 4.747445106506348, 3.0001068115234375, 5.4802446365356445, 6.436081886291504, 6.230471134185791]",Cargo
"[-413.31744384765625, 101.15899658203125, 18.92443084716797, 40.30002212524414, 13.949235916137695, 21.235166549682617, 6.8148698806762695, 16.18185806274414, -0.8890056014060974, 4.45252799987793, -4.208512306213379, 8.462909698486328, -1.4389989376068115, 5.493791580200195, -3.8713231086730957, 3.588911533355713, -2.2624382972717285, 4.209206581115723, 0.4320783317089081, 2.1976799964904785, -0.55232834815979, 4.303216934204102, 1.4347981214523315, 2.5242855548858643, 0.10882604867219925, 0.6653947234153748, -0.9754481315612793, 1.4520502090454102, 2.7126822471618652, 4.008938789367676, 2.1917757987976074, 1.5570285320281982, -0.3505587875843048, -0.8094921112060547, -0.18961672484874725, -0.5585249066352844, -0.903150200843811, -0.9681209921836853, 1.8786685466766357, 1.753703236579895]",Cargo
"[-453.83251953125, 102.62109375, 0.5789046883583069, 31.677202224731445, -0.6709967851638794, 20.76998519897461, 1.383144497871399, 15.742992401123047, -0.27733516693115234, 13.150569915771484, -4.109898090362549, 14.8859224319458, -0.8927791714668274, 9.699044227600098, -1.6059898138046265, 11.41324234008789, -0.918609082698822, 8.911539077758789, -0.9337408542633057, 5.617606163024902, -2.235809564590454, 6.811892509460449, 0.8954931497573853, 5.606688022613525, 0.9186034798622131, 6.886646270751953, 1.850946307182312, 4.0876851081848145, 2.4439961910247803, 4.3667988777160645, 1.458335518836975, 2.6656627655029297, 1.6108499765396118, 2.7546041011810303, 3.1008212566375732, 3.3524162769317627, 2.262542963027954, 1.4873402118682861, 3.110929489135742, 2.6032555103302]",Cargo
"[-494.88311767578125, 90.3637466430664, -6.705528259277344, 30.759145736694336, -5.751039505004883, 17.766298294067383, 0.9852612018585205, 17.400789260864258, -4.543769359588623, 13.963397979736328, -1.6059833765029907, 13.075386047363281, 2.372924327850342, 9.233781814575195, -3.6812427043914795, 10.484557151794434, -3.180678367614746, 7.24114465713501, -0.17417767643928528, 4.783830165863037, 0.6489332318305969, 5.170835494995117, 1.3335819244384766, 6.815521240234375, 4.620096206665039, 5.048973560333252, 4.269411087036133, 4.920117378234863, 5.60325813293457, 5.423320293426514, 4.845564842224121, 3.7476398944854736, 4.258965969085693, 4.295154571533203, 5.32199764251709, 4.321893215179443, 2.9707226753234863, 3.1889443397521973, 5.680253028869629, 3.7097723484039307]",Cargo
"[-410.8885192871094, 105.64765930175781, 5.130862236022949, 19.641334533691406, -5.253104209899902, 21.725561141967773, 10.75871467590332, 20.8209228515625, 4.548521995544434, 10.7514066696167, -4.545007705688477, 9.149502754211426, 1.5804157257080078, 11.434592247009277, -0.5528198480606079, 6.640968322753906, -0.6698460578918457, 6.966704368591309, -1.144548773765564, 2.3843672275543213, -1.5195763111114502, 5.365559101104736, 0.6150004267692566, 3.4721744060516357, 1.415816068649292, 2.210172414779663, 2.1620867252349854, 3.1562130451202393, 1.7469738721847534, 0.45144182443618774, 0.2866446077823639, 2.452575922012329, 3.3111660480499268, 1.9568145275115967, 3.041195869445801, 2.1469814777374268, 3.072911500930786, 0.4784356951713562, 2.412834882736206, 4.339570045471191]",Cargo
"[-404.08154296875, 86.09342956542969, -31.013063430786133, 15.623017311096191, -10.353532791137695, 5.536471366882324, -8.923322677612305, 12.693947792053223, -3.3646442890167236, 10.359829902648926, -11.106714248657227, 15.198957443237305, -3.0775763988494873, 8.87927532196045, -3.7103240489959717, 7.880306720733643, -8.01511001586914, 10.896641731262207, -0.05073598027229309, 7.90744161605835, -3.469748020172119, 8.970917701721191, 1.0017300844192505, 7.564452171325684, 0.6085151433944702, 8.18911361694336, 1.2392113208770752, 4.738006114959717, 2.6699600219726562, 7.141980171203613, 1.176180362701416, 5.276972770690918, 2.1254560947418213, 3.9240925312042236, 3.2887966632843018, 5.556500434875488, 6.830420017242432, 9.301783561706543, 10.239986419677734, 9.63492488861084]",Cargo
