Features,Class
"-351.62512,86.87263,-14.980208,21.255037,-7.7325387,14.597578,-4.0654383,14.520509,-7.5653086,7.2517138,-12.6351185,11.389244,-7.161518,8.563868,-7.4854355,7.8364844,-8.054036,7.7593517,-2.1260574,9.1055155,-5.119012,9.686153,-0.6119975,8.580058,-0.37467715,6.1844506,-1.5594794,4.869048,-0.825706,3.4432049,-2.2900236,3.8444955,0.85441864,3.3699796,-0.6715085,2.6176968,0.010052064,2.9669821,2.92616,7.4638996",Cargo
"-433.63748,102.78814,4.263644,31.529789,-0.87992704,16.512604,2.8421412,19.52847,-4.479041,10.194255,-3.9700408,11.597898,-0.7455873,9.2565975,-3.523261,10.362036,-0.35396674,12.176755,0.04274467,7.7713537,-1.0731215,9.30392,1.2155751,8.214957,1.3028299,5.1597724,2.9137945,5.345071,3.4632878,4.596309,2.420444,4.4945674,3.283026,3.8531952,4.0091877,3.6614356,3.2900689,2.5009923,3.5029328,2.8230503",Cargo
"-459.4379,118.98667,14.566436,32.147232,11.5149145,18.497284,12.052884,16.585941,7.0646133,10.804281,5.950666,14.105604,9.601507,11.310535,6.262652,10.684501,5.985663,8.802895,4.546283,4.184688,-0.3283096,1.8909228,1.4279305,2.923218,1.978216,1.1376204,1.8178691,1.5039861,2.9623783,1.9126867,1.2985383,1.787009,0.8707395,0.65411013,1.5549556,0.7425398,0.027250148,-0.24880989,1.4430599,0.45664966",Cargo
"-503.51062,129.89467,12.606634,29.421465,4.0943823,15.230293,8.052296,14.530101,0.09210769,5.2299623,-0.17578526,9.346442,0.54359967,7.7431607,2.7194629,9.465733,6.284348,8.019455,4.942013,3.5026507,4.3414083,5.68084,4.4959807,5.3656445,4.4079776,2.8292212,2.622141,2.1768713,3.1713214,1.6249764,1.4242882,1.5201222,0.6932504,1.537525,2.8804266,3.3040953,3.359048,3.483962,4.851428,2.6995606",Cargo
"-290.6702,115.29109,-9.099596,26.168022,-1.8807083,15.2357235,-1.9970049,21.375404,-4.278195,6.0262537,-11.581477,8.038998,-10.567909,4.4859204,-10.724002,3.5233684,-9.034122,4.747022,-5.941267,2.8334408,-5.7245083,3.7730203,-5.1888514,2.627793,-1.073622,4.61956,-1.893699,3.9977713,-0.09662373,2.7439332,-2.2086418,1.110829,-2.1242793,1.4421024,1.623004,4.747445,3.0001068,5.4802446,6.436082,6.230471",Cargo
"-413.31744,101.159,18.92443,40.300022,13.949236,21.235167,6.81487,16.181856,-0.8890056,4.452528,-4.2085123,8.46291,-1.4389989,5.4937916,-3.871323,3.588911,-2.2624383,4.2092066,0.43207833,2.19768,-0.55232835,4.303217,1.4347981,2.5242856,0.10882605,0.6653947,-0.9754482,1.4520502,2.7126822,4.008939,2.1917758,1.5570285,-0.3505588,-0.8094921,-0.18961672,-0.5585249,-0.9031502,-0.9681209,1.8786685,1.7537032",Cargo
"-453.83252,102.62109,0.5789045,31.6772,-0.6709968,20.769985,1.3831446,15.742992,-0.27733517,13.15057,-4.109898,14.885922,-0.8927792,9.699044,-1.6059898,11.413241,-0.918609,8.911539,-0.93374085,5.617605,-2.2358096,6.8118935,0.89549315,5.606688,0.9186035,6.8866463,1.8509463,4.087685,2.443996,4.366799,1.4583355,2.6656628,1.61085,2.754604,3.1008213,3.3524163,2.262543,1.4873402,3.1109295,2.6032555",Cargo
"-494.88312,90.36375,-6.7055283,30.759146,-5.7510395,17.766298,0.9852612,17.400791,-4.543769,13.963398,-1.6059834,13.075386,2.3729243,9.233782,-3.6812427,10.484557,-3.1806784,7.2411447,-0.17417768,4.7838297,0.64893323,5.1708355,1.3335819,6.8155212,4.620096,5.0489736,4.269411,4.9201174,5.603258,5.4233203,4.845565,3.74764,4.258966,4.2951546,5.3219976,4.321893,2.9707227,3.1889443,5.680253,3.7097723",Cargo
"-410.88852,105.64766,5.130862,19.641335,-5.253104,21.725561,10.758715,20.820923,4.548522,10.751407,-4.5450077,9.149503,1.5804155,11.434592,-0.5528199,6.6409693,-0.6698461,6.966705,-1.1445488,2.3843672,-1.5195763,5.365559,0.6150005,3.4721744,1.415816,2.2101724,2.1620865,3.1562128,1.7469739,0.45144182,0.28664446,2.452576,3.311166,1.9568145,3.0411959,2.1469815,3.0729115,0.4784357,2.412835,4.33957",Cargo
"-404.08154,86.09343,-31.013063,15.623017,-10.353533,5.5364714,-8.923323,12.693948,-3.3646443,10.35983,-11.106714,15.198957,-3.0775769,8.879276,-3.710324,7.8803067,-8.01511,10.896642,-0.05073598,7.9074416,-3.469748,8.970918,1.0017301,7.5644517,0.60851514,8.189114,1.2392113,4.738006,2.66996,7.14198,1.1761804,5.276973,2.125456,3.9240925,3.2887967,5.5565004,6.83042,9.301784,10.239986,9.634925",Cargo
