Features,Class
"[-3.51625122e+02  8.68726273e+01 -1.49802084e+01  2.12550373e+01
 -7.73253870e+00  1.45975780e+01 -4.06543827e+00  1.45205088e+01
 -7.56530857e+00  7.25171375e+00 -1.26351185e+01  1.13892441e+01
 -7.16151810e+00  8.56386757e+00 -7.48543549e+00  7.83648443e+00
 -8.05403614e+00  7.75935173e+00 -2.12605739e+00  9.10551548e+00
 -5.11901236e+00  9.68615341e+00 -6.11997485e-01  8.58005714e+00
 -3.74677181e-01  6.18445063e+00 -1.55947936e+00  4.86904812e+00
 -8.25706005e-01  3.44320488e+00 -2.29002357e+00  3.84449553e+00
  8.54418576e-01  3.36997962e+00 -6.71508431e-01  2.61769676e+00
  1.00520644e-02  2.96698213e+00  2.92615986e+00  7.46389961e+00]",Cargo
"[-4.3363748e+02  1.0278814e+02  4.2636442e+00  3.1529789e+01
 -8.7992692e-01  1.6512604e+01  2.8421414e+00  1.9528469e+01
 -4.4790411e+00  1.0194255e+01 -3.9700408e+00  1.1597897e+01
 -7.4558717e-01  9.2565985e+00 -3.5232611e+00  1.0362036e+01
 -3.5396686e-01  1.2176755e+01  4.2744670e-02  7.7713537e+00
 -1.0731215e+00  9.3039198e+00  1.2155751e+00  8.2149572e+00
  1.3028299e+00  5.1597724e+00  2.9137945e+00  5.3450708e+00
  3.4632878e+00  4.5963092e+00  2.4204440e+00  4.4945674e+00
  3.2830260e+00  3.8531952e+00  4.0091872e+00  3.6614356e+00
  3.2900689e+00  2.5009923e+00  3.5029333e+00  2.8230503e+00]",Cargo
"[-4.59437897e+02  1.18986671e+02  1.45664358e+01  3.21472321e+01
  1.15149145e+01  1.84972839e+01  1.20528841e+01  1.65859413e+01
  7.06461334e+00  1.08042812e+01  5.95066595e+00  1.41056042e+01
  9.60150719e+00  1.13105354e+01  6.26265192e+00  1.06845007e+01
  5.98566246e+00  8.80289459e+00  4.54628277e+00  4.18468809e+00
 -3.28309596e-01  1.89092278e+00  1.42793047e+00  2.92321801e+00
  1.97821593e+00  1.13762045e+00  1.81786907e+00  1.50398612e+00
  2.96237826e+00  1.91268671e+00  1.29853833e+00  1.78700900e+00
  8.70739520e-01  6.54110134e-01  1.55495536e+00  7.42539823e-01
  2.72501484e-02 -2.48809874e-01  1.44305992e+00  4.56649691e-01]",Cargo
"[-5.0351062e+02  1.2989467e+02  1.2606634e+01  2.9421463e+01
  4.0943823e+00  1.5230293e+01  8.0522957e+00  1.4530101e+01
  9.2107691e-02  5.2299623e+00 -1.7578526e-01  9.3464422e+00
  5.4359984e-01  7.7431612e+00  2.7194629e+00  9.4657326e+00
  6.2843480e+00  8.0194550e+00  4.9420128e+00  3.5026507e+00
  4.3414083e+00  5.6808400e+00  4.4959807e+00  5.3656445e+00
  4.4079776e+00  2.8292212e+00  2.6221409e+00  2.1768713e+00
  3.1713214e+00  1.6249764e+00  1.4242882e+00  1.5201223e+00
  6.9325042e-01  1.5375251e+00  2.8804266e+00  3.3040953e+00
  3.3590477e+00  3.4839621e+00  4.8514280e+00  2.6995606e+00]",Cargo
"[-2.90670197e+02  1.15291092e+02 -9.09959602e+00  2.61680222e+01
 -1.88070834e+00  1.52357235e+01 -1.99700487e+00  2.13754044e+01
 -4.27819490e+00  6.02625370e+00 -1.15814772e+01  8.03899765e+00
 -1.05679092e+01  4.48591995e+00 -1.07240019e+01  3.52336836e+00
 -9.03412247e+00  4.74702168e+00 -5.94126701e+00  2.83344078e+00
 -5.72450829e+00  3.77301979e+00 -5.18885136e+00  2.62779307e+00
 -1.07362187e+00  4.61955976e+00 -1.89369905e+00  3.99777174e+00
 -9.66236293e-02  2.74393320e+00 -2.20864177e+00  1.11082900e+00
 -2.12427926e+00  1.44210243e+00  1.62300396e+00  4.74744511e+00
  3.00010681e+00  5.48024464e+00  6.43608189e+00  6.23047113e+00]",Cargo
"[-4.1331744e+02  1.0115900e+02  1.8924431e+01  4.0300022e+01
  1.3949236e+01  2.1235167e+01  6.8148699e+00  1.6181858e+01
 -8.8900560e-01  4.4525280e+00 -4.2085123e+00  8.4629097e+00
 -1.4389989e+00  5.4937916e+00 -3.8713231e+00  3.5889115e+00
 -2.2624383e+00  4.2092066e+00  4.3207833e-01  2.1976800e+00
 -5.5232835e-01  4.3032169e+00  1.4347981e+00  2.5242856e+00
  1.0882605e-01  6.6539472e-01 -9.7544813e-01  1.4520502e+00
  2.7126822e+00  4.0089388e+00  2.1917758e+00  1.5570285e+00
 -3.5055879e-01 -8.0949211e-01 -1.8961672e-01 -5.5852491e-01
 -9.0315020e-01 -9.6812099e-01  1.8786685e+00  1.7537032e+00]",Cargo
"[-4.5383252e+02  1.0262109e+02  5.7890469e-01  3.1677202e+01
 -6.7099679e-01  2.0769985e+01  1.3831445e+00  1.5742992e+01
 -2.7733517e-01  1.3150570e+01 -4.1098981e+00  1.4885922e+01
 -8.9277917e-01  9.6990442e+00 -1.6059898e+00  1.1413242e+01
 -9.1860908e-01  8.9115391e+00 -9.3374085e-01  5.6176062e+00
 -2.2358096e+00  6.8118925e+00  8.9549315e-01  5.6066880e+00
  9.1860348e-01  6.8866463e+00  1.8509463e+00  4.0876851e+00
  2.4439962e+00  4.3667989e+00  1.4583355e+00  2.6656628e+00
  1.6108500e+00  2.7546041e+00  3.1008213e+00  3.3524163e+00
  2.2625430e+00  1.4873402e+00  3.1109295e+00  2.6032555e+00]",Cargo
"[-4.9488312e+02  9.0363747e+01 -6.7055283e+00  3.0759146e+01
 -5.7510395e+00  1.7766298e+01  9.8526120e-01  1.7400789e+01
 -4.5437694e+00  1.3963398e+01 -1.6059834e+00  1.3075386e+01
  2.3729243e+00  9.2337818e+00 -3.6812427e+00  1.0484557e+01
 -3.1806784e+00  7.2411447e+00 -1.7417768e-01  4.7838302e+00
  6.4893323e-01  5.1708355e+00  1.3335819e+00  6.8155212e+00
  4.6200962e+00  5.0489736e+00  4.2694111e+00  4.9201174e+00
  5.6032581e+00  5.4233203e+00  4.8455648e+00  3.7476399e+00
  4.2589660e+00  4.2951546e+00  5.3219976e+00  4.3218932e+00
  2.9707227e+00  3.1889443e+00  5.6802530e+00  3.7097723e+00]",Cargo
"[-4.1088852e+02  1.0564766e+02  5.1308622e+00  1.9641335e+01
 -5.2531042e+00  2.1725561e+01  1.0758715e+01  2.0820923e+01
  4.5485220e+00  1.0751407e+01 -4.5450077e+00  9.1495028e+00
  1.5804157e+00  1.1434592e+01 -5.5281985e-01  6.6409683e+00
 -6.6984606e-01  6.9667044e+00 -1.1445488e+00  2.3843672e+00
 -1.5195763e+00  5.3655591e+00  6.1500043e-01  3.4721744e+00
  1.4158161e+00  2.2101724e+00  2.1620867e+00  3.1562130e+00
  1.7469739e+00  4.5144182e-01  2.8664461e-01  2.4525759e+00
  3.3111660e+00  1.9568145e+00  3.0411959e+00  2.1469815e+00
  3.0729115e+00  4.7843570e-01  2.4128349e+00  4.3395700e+00]",Cargo
"[-4.0408154e+02  8.6093430e+01 -3.1013063e+01  1.5623017e+01
 -1.0353533e+01  5.5364714e+00 -8.9233227e+00  1.2693948e+01
 -3.3646443e+00  1.0359830e+01 -1.1106714e+01  1.5198957e+01
 -3.0775764e+00  8.8792753e+00 -3.7103240e+00  7.8803067e+00
 -8.0151100e+00  1.0896642e+01 -5.0735980e-02  7.9074416e+00
 -3.4697480e+00  8.9709177e+00  1.0017301e+00  7.5644522e+00
  6.0851514e-01  8.1891136e+00  1.2392113e+00  4.7380061e+00
  2.6699600e+00  7.1419802e+00  1.1761804e+00  5.2769728e+00
  2.1254561e+00  3.9240925e+00  3.2887967e+00  5.5565004e+00
  6.8304200e+00  9.3017836e+00  1.0239986e+01  9.6349249e+00]",Cargo
