Features,Class
"-932.2881,13.635875,1.8276811,4.505561,1.939589,2.9590385,0.539887,1.447212,-1.8292154,-1.3197623,-3.3885605,-0.122807376,-1.917115,-0.1102522,-1.9582677,-0.18880054,-1.6750218,0.4756699,0.49209145,1.3706732,-0.35527092,1.767131,1.0566505,1.5041505,1.0838016,0.9319117,0.38500655,0.50557667,0.15984905,-0.060209528,-0.100792825,-0.18184812,0.60383874,0.1886959,0.12135589,0.11168596,0.4445437,0.38870913,1.0781671,1.7308506",Cargo
"-953.34406,23.712738,5.6353164,7.229023,1.2910542,0.7126324,2.1662743,1.608518,-2.226786,-1.287774,-0.9720568,-0.55774677,-0.11199678,-0.27518693,-0.7046821,0.82632285,0.6436713,1.8854034,0.8334265,0.8646907,0.68950146,1.3710496,1.0500976,1.6766151,1.0426652,0.79833895,1.4251362,1.2153008,1.2821318,1.152676,1.0369706,1.1554751,1.0995758,1.0569532,1.3578339,1.1351335,0.95920825,0.902601,0.9009243,1.0125374",Cargo
"-896.3549,26.114866,8.032627,10.994141,4.602007,4.0074844,3.2487388,5.214632,3.152599,2.6571753,1.5490546,4.4105306,2.8191342,2.5647383,1.8475714,2.974549,1.630057,2.8413742,1.0745661,1.23642,-0.7713783,0.4175279,0.41705793,0.48154777,0.70358497,0.7456691,0.018627647,0.3373553,0.78881955,0.5219311,0.10483762,0.4614197,-0.07624771,-0.007574152,0.13151298,0.5227585,-0.04344453,-0.0993018,0.23728877,0.3607546",Cargo
"-958.41956,12.191271,1.7338899,1.9386969,-0.5903698,1.7136657,1.2746981,1.8166378,-0.7960536,-0.5610605,-0.5555517,0.8817154,-1.1203164,0.44383684,0.7061645,2.1967385,1.6817961,1.0729676,0.78603697,0.60430855,1.3856363,1.1106901,1.0951267,1.366333,1.1652671,0.6042624,0.4159908,0.5144094,0.7207905,0.5297563,0.36199078,0.4685137,0.09356496,0.42714402,0.535317,0.9164365,0.68514514,1.0578533,1.0191762,0.7687972",Cargo
"-896.8744,49.558216,24.255026,20.094505,12.645031,9.607343,2.8940315,4.2032304,-5.792545,-6.4417477,-10.499546,-4.449912,-7.7546625,-3.9545946,-6.3312683,-2.6387382,-5.809494,-1.4322408,-3.598357,-1.9056869,-2.8791254,-0.7162106,-2.9044776,-0.61249524,-0.24241264,0.5899123,-1.0142777,0.43727195,-0.2396572,-0.34001657,-1.0492908,-0.44834268,-0.96335495,-0.20885785,1.1268543,1.7127715,1.9787611,2.4161503,3.281874,2.6868582",Cargo
"-854.4587,19.97601,15.742297,14.952067,12.124054,9.829118,7.001553,5.7990355,3.1419437,1.5414999,-0.23847978,-0.037929352,-0.9768277,-0.8961451,-1.4694779,-1.0671953,-1.3072591,-0.5152902,-0.28616062,-0.19263482,-0.18764433,0.26084983,0.30141586,0.23897347,0.173886,0.08500579,-0.028065812,0.15615526,0.3134866,0.3176783,0.12724857,-0.042779434,-0.3366983,-0.4548134,-0.418434,-0.3630744,-0.2596742,-0.10721178,0.16106188,0.41519773",Cargo
"-947.45276,20.603891,9.233471,8.357512,5.6342497,4.6874485,3.1444745,3.197119,2.9690292,2.6019957,1.0119282,2.4719934,0.8342012,0.89059526,0.9890641,1.6796814,0.20799096,1.4347049,0.52599734,0.609026,0.08183452,1.285784,1.14688,1.1196115,1.300882,1.9552817,1.3536495,1.2816681,1.357182,1.3437767,0.76872855,0.8888022,0.8545346,0.7617847,1.1327063,0.97860056,0.9183742,0.5779785,0.91034615,0.9064049",Cargo
"-972.9444,4.552458,2.070602,3.5544515,1.9024448,2.0999122,1.4508785,1.809285,0.5137239,1.3351631,0.5647689,1.6707639,1.2301078,0.657766,0.39504984,1.4535794,0.18101238,0.7829552,0.80181456,0.48613778,0.7629933,0.7696413,0.71069604,1.079888,1.2018135,0.9354963,1.0786189,0.9800739,1.3049984,1.0690225,1.0781034,0.8821932,1.0124712,0.93726104,0.98463327,0.9700796,0.65235454,0.8678772,0.9188123,0.9754956",Cargo
"-893.446,11.807217,12.272617,8.542319,6.622071,6.8781657,4.3961625,4.619516,1.7483236,2.6473496,0.56255746,1.6604028,0.3434805,1.200348,-0.51769507,0.51794994,-0.5740871,0.62112033,-0.45426255,0.28464913,-0.12684421,0.48274648,0.068342105,0.5571965,0.14403126,0.33043262,0.30049652,0.48815638,0.1984078,0.17051011,0.22593042,0.5077386,0.5011177,0.58359987,0.71476614,0.7736089,0.86650693,0.65990734,0.88636804,1.236882",Cargo
"-947.7887,9.756593,-2.3603039,2.7090638,1.7224132,0.8167508,0.24205309,0.91084117,0.10817493,-0.7034711,-2.6260698,0.90305513,-0.27269867,-0.134201,-0.2447556,-0.0034749473,-1.3509256,1.3757405,1.604735,0.6226738,0.094284505,1.4356331,1.2405391,0.92210126,0.78913647,1.3678423,1.1966783,0.31121582,1.1164207,1.2501234,0.6668171,0.74534214,0.9165705,0.7009132,0.9968553,0.8763892,1.7477617,1.7143472,2.2384107,2.0664682",Cargo
